timestamp,pre_temperature,pre_humidity,post_water_collected,post_flow_rate,predicted_water_recovery,efficiency_score,recommendation
2026-03-19T00:35:50.226660+00:00,46.52,75.36,5.263,1.1,5.184,0.5184,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226733+00:00,45.64,87.51,5.941,1.146,5.76,0.576,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226762+00:00,45.33,88.8,6.209,1.199,6.169,0.6169,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226783+00:00,49.39,82.11,5.139,0.994,5.123,0.5123,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226802+00:00,42.86,66.81,4.932,1.005,4.749,0.4749,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226821+00:00,55.71,93.86,5.043,0.968,5.243,0.5243,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.226839+00:00,44.43,76.65,5.077,1.048,5.324,0.5324,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226855+00:00,39.14,70.93,5.196,1.051,5.378,0.5378,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226873+00:00,49.36,64.89,4.311,0.866,4.088,0.4088,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.226895+00:00,37.71,87.33,6.659,1.3,6.723,0.6723,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226913+00:00,40.67,76.49,5.168,1.017,5.816,0.5816,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226930+00:00,48.56,70.64,4.438,0.864,4.675,0.4675,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226948+00:00,38.62,68.19,4.956,1.016,5.091,0.5091,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226966+00:00,42.86,87.44,6.433,1.271,6.152,0.6152,Conditions are optimal for water recovery.
2026-03-19T00:35:50.226983+00:00,43.18,63.15,4.126,0.85,4.651,0.4651,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.226999+00:00,47.4,84.37,5.747,1.144,5.598,0.5598,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227020+00:00,36.56,63.07,4.605,0.871,5.001,0.5001,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.227037+00:00,43.11,93.92,6.572,1.351,6.771,0.6771,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227053+00:00,40.25,91.59,7.093,1.332,7.055,0.7055,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227069+00:00,42.03,89.98,6.542,1.282,6.729,0.6729,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227085+00:00,53.01,82.74,4.553,0.92,4.937,0.4937,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227100+00:00,49.18,65.06,4.572,0.855,4.095,0.4095,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227116+00:00,43.05,72.14,5.326,1.054,5.27,0.527,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227134+00:00,46.57,62.9,4.8,1.106,4.283,0.4283,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.227150+00:00,34.34,69.34,5.447,1.069,5.561,0.5561,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227166+00:00,50.33,91.37,5.625,1.073,5.617,0.5617,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227183+00:00,44.73,85.44,5.942,1.238,5.757,0.5757,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227200+00:00,40.17,79.42,6.578,1.275,6.095,0.6095,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227215+00:00,49.66,70.18,4.369,0.872,4.341,0.4341,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227232+00:00,42.73,75.23,5.002,1.009,5.35,0.535,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227251+00:00,44.41,78.16,5.823,1.176,5.578,0.5578,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227268+00:00,47.14,86.14,5.747,1.088,5.481,0.5481,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227284+00:00,53.62,65.36,3.674,0.808,3.797,0.3797,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227301+00:00,48.22,94.01,6.083,1.208,6.203,0.6203,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227317+00:00,45.45,83.72,5.094,1.016,5.753,0.5753,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227333+00:00,40.61,88.14,6.818,1.297,6.775,0.6775,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227349+00:00,47.44,73.92,4.758,1.002,4.933,0.4933,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227369+00:00,44.23,92.37,6.372,1.287,6.503,0.6503,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227385+00:00,45.45,74.67,5.847,1.263,4.991,0.4991,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227404+00:00,37.68,87.47,6.909,1.442,6.61,0.661,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227421+00:00,34.26,78.58,6.139,1.201,6.469,0.6469,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227438+00:00,36.21,75.89,6.69,1.274,5.881,0.5881,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227455+00:00,59.53,62.33,3.043,0.626,3.435,0.3435,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227493+00:00,43.77,92.23,6.613,1.304,6.555,0.6555,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227512+00:00,43.81,61.94,4.42,0.856,4.444,0.4444,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.227529+00:00,45.78,71.13,4.837,0.967,4.682,0.4682,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227545+00:00,44.51,68.73,5.239,1.067,4.819,0.4819,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227561+00:00,46.31,63.56,4.623,0.938,4.296,0.4296,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.227578+00:00,49.64,91.59,5.432,1.063,5.656,0.5656,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227593+00:00,43.54,64.71,4.491,0.906,4.632,0.4632,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.227609+00:00,43.82,82.38,5.874,1.156,5.759,0.5759,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227625+00:00,53.64,72.86,4.481,0.88,4.504,0.4504,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227651+00:00,43.33,93.21,6.778,1.442,6.69,0.669,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227669+00:00,53.72,82.84,5.041,0.993,4.722,0.4722,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227685+00:00,49.95,67.08,4.431,0.877,4.136,0.4136,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227702+00:00,54.1,62.96,3.141,0.625,3.647,0.3647,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227718+00:00,52.56,87.39,4.973,0.944,5.007,0.5007,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227734+00:00,41.64,81.57,5.755,1.209,6.097,0.6097,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227754+00:00,46.52,86.74,5.923,1.265,5.946,0.5946,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227771+00:00,47.95,64.1,4.613,0.941,4.174,0.4174,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.227787+00:00,49.07,71.68,4.633,0.938,4.486,0.4486,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227803+00:00,44.26,65.52,4.68,0.986,4.563,0.4563,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227818+00:00,52.41,79.35,4.474,0.905,4.601,0.4601,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227834+00:00,51.64,85.12,5.398,1.107,4.935,0.4935,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.227852+00:00,34.98,80.59,6.413,1.288,6.807,0.6807,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227869+00:00,38.74,76.05,5.585,1.139,5.74,0.574,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227885+00:00,37.94,94.9,7.378,1.452,7.516,0.7516,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227901+00:00,45.69,63.17,4.357,0.898,4.684,0.4684,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.227917+00:00,45.98,66.94,4.402,0.906,4.483,0.4483,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227932+00:00,49.15,81.21,4.773,0.88,5.047,0.5047,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227948+00:00,48.75,92.47,5.983,1.251,5.714,0.5714,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227964+00:00,41.15,64.37,4.706,1.009,4.963,0.4963,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.227979+00:00,42.03,85.71,5.944,1.171,6.088,0.6088,Conditions are optimal for water recovery.
2026-03-19T00:35:50.227998+00:00,38.09,61.91,4.479,0.92,4.719,0.4719,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228014+00:00,49.64,63.21,3.819,0.71,4.141,0.4141,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228030+00:00,44.05,80.03,5.706,1.207,5.614,0.5614,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228046+00:00,50.34,82.72,5.469,1.113,4.86,0.486,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228062+00:00,54.76,64.17,3.65,0.738,4.33,0.433,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228078+00:00,46.67,82.21,5.574,1.073,5.192,0.5192,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228097+00:00,39.41,61.26,4.552,1.007,4.473,0.4473,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228113+00:00,46.74,84.57,5.545,1.118,5.351,0.5351,Conditions are optimal for water recovery.
